trade_id,asset,side,entry_date,entry_price,exit_date,exit_price,lots,pnl_usd,pnl_pct,hold_days,exit_reason,is_dry_run
1,AUDJPY,LONG,2026-05-12,113.93000030517578,2026-05-19,113.0199966430664,0.18,-109.74644165039062,-0.054873220825195315,5,signal_flat,False
2,AUDJPY,LONG,2026-05-20,113.61499786376953,2026-05-26,114.15699768066406,0.35000000000000003,127.09895706176758,0.06354947853088379,4,signal_flat,False
3,AUDJPY,LONG,2026-05-28,114.06900024414062,2026-06-01,114.28299713134766,0.89,127.60634384155274,0.06380317192077638,2,signal_flat,False
4,AUDUSD,SHORT,2026-05-14,0.7222824096679688,2026-05-19,0.710883617401123,0.33,376.1601448059082,0.1880800724029541,3,signal_flat,False
5,AUDUSD,SHORT,2026-05-20,0.7155122756958008,2026-05-21,0.7154099345207214,0.3,3.070235252380371,0.0015351176261901855,1,signal_flat,False
6,EURGBP,SHORT,2026-05-12,0.8657400012016296,2026-05-14,0.8709700107574463,0.25,-166.05280339717865,-0.08302640169858932,2,signal_flat,False
7,EURGBP,SHORT,2026-05-15,0.8708500266075134,2026-05-25,0.8635200262069702,0.47000000000000003,437.5277239084244,0.2187638619542122,6,signal_flat,False
8,EURUSD,SHORT,2026-05-13,1.1735436916351318,2026-05-14,1.1674060821533203,0.37,227.09155082702637,0.11354577541351318,1,signal_flat,False
9,EURUSD,SHORT,2026-05-18,1.1663167476654053,2026-05-20,1.1629259586334229,0.35000000000000003,118.67761611938477,0.05933880805969238,2,signal_flat,False
10,EURUSD,LONG,2026-05-26,1.1637378931045532,2026-05-27,1.163061261177063,0.98,-66.30992889404297,-0.033154964447021484,1,signal_flat,False
11,EURUSD,LONG,2026-05-28,1.1655012369155884,2026-06-01,1.1637378931045532,0.99,-174.57103729248047,-0.08728551864624023,2,signal_flat,False
12,GBPJPY,LONG,2026-05-13,213.40499877929688,2026-05-14,212.16200256347656,0.24,-199.87379150390626,-0.09993689575195314,1,signal_flat,False
13,GBPJPY,LONG,2026-05-18,213.2689971923828,2026-05-25,214.59800720214844,0.21,186.99170837402343,0.09349585418701171,5,signal_flat,False
14,GBPUSD,SHORT,2026-05-13,1.3537001609802246,2026-05-18,1.3433998823165894,0.26,267.8072452545166,0.1339036226272583,3,signal_flat,False
15,GBPUSD,SHORT,2026-05-20,1.3435803651809692,2026-05-22,1.3432555198669434,0.19,6.172060966491699,0.0030860304832458496,2,signal_flat,False
16,GBPUSD,SHORT,2026-05-27,1.3427504301071167,2026-05-28,1.3445378541946411,0.51,-91.15862846374512,-0.04557931423187256,1,signal_reverse,False
17,GBPUSD,LONG,2026-05-28,1.3445378541946411,2026-06-01,1.3458225727081299,0.51,65.52064418792725,0.03276032209396362,2,signal_flat,False
18,NZDUSD,SHORT,2026-05-14,0.5913660526275635,2026-05-19,0.5836008191108704,0.34,264.0179395675659,0.13200896978378296,3,signal_flat,False
19,NZDUSD,LONG,2026-05-26,0.5839074850082397,2026-05-28,0.5936479568481445,0.87,847.4210500717163,0.42371052503585815,2,signal_flat,False
20,USDCAD,LONG,2026-05-13,1.369729995727539,2026-05-14,1.3716200590133667,0.42,57.87510723768669,0.028937553618843346,1,signal_flat,False
21,USDCAD,LONG,2026-05-19,1.3744800090789795,2026-05-22,1.3775899410247803,0.43,97.07320711848033,0.048536603559240166,3,signal_flat,False
22,USDCAD,LONG,2026-05-26,1.3809399604797363,2026-05-28,1.3783600330352783,1.28,-239.58233333523603,-0.11979116666761801,2,signal_flat,False
23,USDCHF,LONG,2026-05-13,0.7804099917411804,2026-05-14,0.7837799787521362,0.28,120.39046526423603,0.06019523263211801,1,signal_flat,False
24,USDCHF,LONG,2026-05-18,0.7840200066566467,2026-05-20,0.7865999937057495,0.28,91.8378311122912,0.0459189155561456,2,signal_flat,False
25,USDCHF,LONG,2026-05-21,0.7863100171089172,2026-05-22,0.7864999771118164,0.34,8.211875761635978,0.004105937880817989,1,signal_flat,False
26,USDJPY,LONG,2026-05-14,158.35499572753906,2026-05-29,159.27000427246094,0.21,120.64531253787273,0.06032265626893636,11,signal_flat,True
