ts_utc,as_of_date,asset,phase,dry_run,ensemble_avg,tau,signal,realised_vol,vol_scalar,target_signed_lots,close_price,decision,action
2026-06-22T22:05:09.855606+00:00,2026-06-22,AUDJPY,p1,False,0.2,0.6849549260809971,0,0.058585168335561745,1.7069166623747511,0.0,113.10299682617188,FLAT,NO_POSITION
2026-06-22T22:05:10.764418+00:00,2026-06-22,AUDUSD,p1,False,-0.6480930699760746,0.6849549260809971,-1,0.07062502257991726,1.4159287508452525,-0.56,0.7003291845321655,SHORT,OPEN_SHORT
2026-06-22T22:05:11.753031+00:00,2026-06-22,EURGBP,p1,False,-0.4,0.6849549260809971,-1,0.02148650868161507,4.654083242735708,-2.5100000000000002,0.8623999953269958,SHORT,OPEN_SHORT
2026-06-22T22:05:12.333521+00:00,2026-06-22,EURUSD,p1,False,-0.32600758866286694,0.6849549260809971,0,0.04806804129437999,2.0803843324419335,0.0,1.1431183815002441,FLAT,NO_POSITION
2026-06-22T22:05:13.283882+00:00,2026-06-22,GBPJPY,p1,False,0.6,0.6849549260809971,1,0.04321684278047508,2.3139126684464553,0.49,214.0469970703125,LONG,OPEN_LONG
2026-06-22T22:05:14.326437+00:00,2026-06-22,GBPUSD,p1,False,-0.4,0.6849549260809971,-1,0.052639624593683154,1.899709596561222,-0.54,1.3253810405731201,SHORT,OPEN_SHORT
2026-06-22T22:05:14.898726+00:00,2026-06-22,NZDUSD,p1,False,0.2,0.6849549260809971,0,0.09468191910086332,1.0561678612943133,0.0,0.5715591907501221,FLAT,NO_POSITION
2026-06-22T22:05:15.822024+00:00,2026-06-22,USDCAD,p1,False,0.4649841851730122,0.6849549260809971,1,0.03575196137788894,2.797049340678851,1.4000000000000001,1.41743004322052,LONG,OPEN_LONG
2026-06-22T22:05:16.822830+00:00,2026-06-22,USDCHF,p1,False,0.7622998179743332,0.6849549260809971,1,0.06620687614217405,1.5104171322818174,0.55,0.8079699873924255,LONG,OPEN_LONG
2026-06-22T22:05:17.829386+00:00,2026-06-22,USDJPY,p1,False,0.4061874589410522,0.6849549260809971,1,0.021462396387241095,4.659311951737492,1.26,161.56199645996094,LONG,OPEN_LONG
